Department,Education,Title,Name,Years,Salary
Admin,Master,VP,Sinead,1,39
HR,Master,Analyst,Ryan,14,46
Sales,Bachelor,Analyst,Clayton,2,83
Sales,Bachelor,VP,James,12,75
HR,Master,associate,Kareem,12,33
Admin,Bachelor,VP,Leo,15,61
IT,Bachelor,Analyst,Jesse,7,41
IT,PhD,associate,Josh,1,57
IT,PhD,associate,Mark,12,73
IT,Master,VP,Jerome,6,53
Admin,Master,associate,Gary,6,36
Sales,PhD,associate,Keith,3,118
IT,Bachelor,Analyst,Mauricio,3,81
Admin,Bachelor,associate,Greg,4,117
IT,Master,VP,Chad,13,98
HR,Master,Analyst,Mark,6,95
Admin,Master,VP,Clyde,3,74
IT,PhD,associate,Pablo,12,109
Sales,Master,Analyst,Timothy,12,64
HR,Bachelor,associate,Eugene,8,74
Admin,Bachelor,VP,Jamie,1,77
Sales,Bachelor,associate,Kareem,8,33
HR,PhD,associate,Chad,5,31
Sales,Bachelor,associate,Kareem,3,38
HR,PhD,Analyst,Sarah,2,96
Sales,PhD,VP,Ruth,6,35
HR,Bachelor,Analyst,Will,4,114
IT,Bachelor,Analyst,Clayton,3,66
IT,Bachelor,associate,Denise,9,37
IT,Bachelor,Analyst,Diana,4,110
Admin,PhD,associate,Laurence,7,48
Sales,PhD,Analyst,Leslie,9,95
HR,Master,Analyst,Melvin,9,44
IT,Bachelor,Analyst,Joyce,14,39
Sales,PhD,VP,Jeremy,7,69
HR,Bachelor,associate,Peter,6,86
HR,Bachelor,Analyst,Jerome,11,32
HR,PhD,Analyst,James,12,49
Sales,Bachelor,associate,Wesley,10,92
IT,PhD,VP,Laurence,2,77
IT,Master,associate,Ivan,10,97
HR,Bachelor,VP,Alice,1,70
Sales,PhD,VP,Lance,10,63
Admin,Master,VP,Calvin,14,53
Admin,Master,Analyst,Eugene,9,61
HR,PhD,associate,Marcel,10,30
HR,PhD,associate,Lola,6,72
Sales,Bachelor,VP,Samuel,14,56
IT,PhD,VP,Ashely,6,71
IT,Master,associate,Eddie,7,116
Admin,Bachelor,Analyst,Robin,9,102
Sales,PhD,Analyst,Lester,15,108
IT,Bachelor,Analyst,Charlie,15,99
Admin,Bachelor,Analyst,Ann,9,114
HR,PhD,associate,Dennis,2,50
Sales,PhD,VP,Randy,7,54
Sales,PhD,VP,Lucia,7,45
Sales,Bachelor,VP,Marta,3,56
IT,PhD,Analyst,Mauricio,13,69
HR,PhD,Analyst,Leonardo,3,96
Admin,Bachelor,Analyst,Mohammed,3,42
HR,PhD,VP,Eddie,3,104
Admin,Master,VP,Alvaro,15,93
Sales,Master,VP,Milton,1,51
Sales,Master,Analyst,Ben,3,109
HR,Bachelor,associate,Sam,2,83
HR,Master,Analyst,Daniel,2,94
Admin,PhD,associate,Elena,1,112
Admin,Bachelor,VP,Kenny,4,68
HR,Bachelor,associate,Bradley,11,66
Sales,Bachelor,Analyst,Duane,10,120
IT,PhD,VP,Kurt,14,56
Admin,PhD,VP,Vince,1,63
Admin,Master,Analyst,Pedro,1,47
Admin,Bachelor,VP,Jerome,14,46
Sales,Master,VP,Ricardo,6,95
Admin,Bachelor,Analyst,Sandra,6,110
Sales,PhD,Analyst,Ruth,15,58
IT,PhD,associate,Raj,8,113
Admin,Master,VP,Erika,11,94
Sales,Bachelor,associate,Henry,1,79
Admin,PhD,associate,Gunter,4,62
Sales,Bachelor,Analyst,Edgar,1,76
IT,Master,associate,Daniel,1,117
Sales,PhD,Analyst,Edgar,8,72
HR,Master,associate,Jean,12,91
IT,Master,associate,Robin,6,94
Admin,PhD,Analyst,Kurt,10,105
Sales,PhD,VP,Eric,6,38
HR,Master,VP,Jesse,3,59
IT,Master,VP,Chad,7,75
HR,PhD,Analyst,Julia,15,68
HR,PhD,VP,Kareem,8,80
IT,Master,associate,Luis,11,47
IT,Master,VP,Calvin,15,57
HR,PhD,VP,Chelsea,1,72
HR,Master,associate,Howard,6,103
Sales,Master,Analyst,Rihanna,15,101
Admin,Bachelor,associate,Alix,15,81
IT,Bachelor,Analyst,Jamie,3,56
Admin,Master,VP,Adam,12,78
IT,Bachelor,VP,Leo,13,70
HR,Master,VP,Raj,7,56
HR,Master,associate,Don,6,48
HR,Master,associate,Brenda,12,32
IT,Master,Analyst,Kareem,10,46
Admin,PhD,associate,Randy,5,94
IT,Master,VP,Todd,15,72
HR,Bachelor,Analyst,Chad,14,54
Admin,Master,VP,Susan,1,50
IT,PhD,associate,Clayton,3,35
HR,Master,VP,Rebecca,11,119
IT,Master,Analyst,Edward,5,31
Admin,PhD,Analyst,Claire,5,84
Sales,Master,Analyst,Pedro,10,109
Sales,PhD,Analyst,Gordon,10,48
HR,PhD,Analyst,Lola,3,108
IT,Bachelor,VP,Roger,2,108
IT,Master,associate,Harry,10,43
Sales,Master,Analyst,Kyle,1,68
Sales,Bachelor,associate,Violeta,12,79
Sales,PhD,VP,Raul,3,60
HR,PhD,associate,Ann,6,114
Admin,PhD,associate,Phillip,2,96
IT,Master,associate,Greg,15,46
IT,Master,Analyst,Tyrone,11,53
IT,PhD,VP,Todd,13,91
HR,PhD,Analyst,Max,14,75
Admin,PhD,Analyst,Rebecca,13,93
Sales,Master,Analyst,Phillip,5,116
Admin,Master,Analyst,Cecil,14,50
Sales,Master,associate,Roland,3,120
Admin,Master,associate,Katerina,10,45
Admin,Bachelor,Analyst,Alan,14,63
Sales,Master,Analyst,Alice,5,51
Admin,Bachelor,associate,Claude,10,49
Sales,Bachelor,VP,Henry,3,37
IT,Bachelor,Analyst,Matthew,13,50
IT,Bachelor,associate,Jeremy,1,96
Sales,Master,Analyst,Rafael,10,102
Sales,Master,VP,Herbert,12,49
HR,Bachelor,VP,Raul,7,86
Sales,PhD,Analyst,Josh,15,57
IT,Master,VP,Steven,12,106
IT,Bachelor,associate,Brandon,10,115
HR,Bachelor,associate,Samuel,12,111
Admin,Bachelor,associate,Kim,13,119
HR,Master,VP,Kareem,1,86
Sales,Master,Analyst,Josh,10,41
IT,PhD,associate,Alix,11,45
Sales,Bachelor,Analyst,Calvin,1,42
IT,PhD,VP,Adam,6,81
Sales,Master,Analyst,Keith,6,112
HR,PhD,Analyst,Nancy,7,31
IT,Master,Analyst,Javier,14,106
Admin,PhD,VP,Mohammed,7,114
IT,Bachelor,Analyst,Julie,3,36
Admin,Bachelor,Analyst,Shanon,6,87
Sales,Master,Analyst,Phillip,10,90
Sales,Master,VP,Melissa,9,52
Sales,PhD,VP,Phillip,6,52
Sales,Master,Analyst,Sean,13,64
Sales,PhD,Analyst,Neil,5,72
HR,Bachelor,VP,Jesse,1,105
Admin,Master,VP,Glenn,5,88
IT,Bachelor,Analyst,Brad,7,107
HR,PhD,Analyst,Andrea,3,70
IT,PhD,associate,Connor,15,46
IT,PhD,VP,Raymond,1,58
Sales,Bachelor,Analyst,Ricardo,13,45
Sales,Master,Analyst,Alvin,2,47
HR,Bachelor,Analyst,Sam,8,115
IT,PhD,associate,Brendan,13,38
HR,Master,Analyst,Manuella,4,70
HR,Master,Analyst,Alvin,13,40
Admin,PhD,associate,Neil,5,54
Sales,Master,VP,Marta,15,88
Sales,Bachelor,associate,Jeremy,5,83
IT,Master,Analyst,Shane,7,57
IT,PhD,VP,Gordon,10,54
IT,Bachelor,Analyst,Kai,9,100
Sales,Bachelor,associate,Leo,4,59
Admin,Bachelor,associate,Brennan,10,82
Admin,Bachelor,associate,Roman,10,49
HR,Bachelor,Analyst,Gunter,2,43
Admin,PhD,Analyst,Calvin,5,79
IT,Bachelor,Analyst,Neil,3,86
IT,Master,Analyst,Amy,15,84
Admin,Bachelor,associate,Pedro,11,107
Sales,PhD,Analyst,Sam,6,113
Sales,Bachelor,Analyst,Henry,10,58
HR,Master,VP, Beverly,4,86
Admin,Master,VP,Brendan,3,72
Sales,Bachelor,Analyst,Brian,12,97
HR,Master,associate,Javier,13,38
Admin,Bachelor,VP,Karl,12,103
Sales,Master,Analyst,Nancy,6,116
IT,Bachelor,Analyst,Eric,11,53
IT,Bachelor,Analyst,Josh,13,40
Admin,Master,VP,Corey,3,33
Sales,PhD,associate,Kenny,13,43
HR,PhD,associate,Tyrone,3,119
Sales,PhD,associate,Jean,10,40
Sales,PhD,Analyst,Melissa,4,59
IT,Master,Analyst,Fracisco,3,83
Admin,PhD,VP,Dean,11,61
HR,Master,associate,Laurence,11,53
HR,PhD,Analyst,Roland,12,43
Admin,Bachelor,Analyst,Kyle,12,72
HR,Master,associate,Sinead,1,62
Admin,PhD,Analyst,Don,1,120
IT,Bachelor,associate,Winston,3,45
Sales,PhD,VP,Gabriel,3,88
HR,PhD,Analyst,Eric,6,49
IT,PhD,Analyst,Joel,4,71
IT,Master,VP,Andrea,12,51
Sales,Bachelor,associate,Jerome,2,118
IT,PhD,VP,Miriam,8,67
Sales,Master,associate,Andrew,5,79
Admin,Master,associate,Andrew,4,100
Admin,Master,VP,Kim,9,88
HR,PhD,VP,Ashely,3,42
HR,Bachelor,Analyst,Alice,5,100
IT,Master,associate,Jay,6,35
IT,Master,associate,Raymond,3,111
HR,Bachelor,VP,Steven,6,90
Sales,PhD,VP,Harold,1,45
Admin,Master,Analyst,Carlos,9,56
HR,Master,Analyst,Claire,5,119
IT,Bachelor,VP,Jay,9,81
HR,Bachelor,VP,Raul,7,78
IT,Bachelor,Analyst,Augustin,13,30
IT,Master,VP,Jose,4,117
HR,PhD,VP,Laurence,3,75
IT,Bachelor,VP,Sam,8,41
HR,Master,associate,Luis,4,96
IT,PhD,associate,Connor,7,49
Sales,PhD,associate,Heather,3,31
Sales,PhD,associate,Jared,6,67
Sales,Master,VP,Luis,3,118
IT,Master,associate,Todd,10,112
Admin,Bachelor,VP,Issac,15,32
Sales,PhD,Analyst,Edward,1,119
Admin,Master,associate,Vanessa,12,107
Admin,PhD,VP,Diana,8,61
HR,Bachelor,associate,Dustin,1,34
IT,Bachelor,VP,Melvin,3,32
Sales,Master,associate,Franklin,4,79
IT,PhD,Analyst,Eddie,4,115
IT,Master,VP,Todd,13,59
HR,Master,VP,Alix,11,54
Admin,PhD,Analyst,Cynthia,15,44
IT,Bachelor,associate,Roman,9,61
IT,Master,associate,Sarah,1,47
Admin,Bachelor,Analyst,Diana,9,117
Admin,PhD,associate,Greg,8,93
HR,PhD,associate,Phillip,11,113
IT,PhD,Analyst,Kelly,12,99
IT,Bachelor,VP,Brad,9,66
HR,Bachelor,VP,Augustin,14,107
Sales,Master,Analyst,Connor,14,48
HR,Bachelor,Analyst,Mark,12,96
Sales,Bachelor,VP,Marta,14,94
IT,Master,Analyst,Cal,13,100
HR,Bachelor,Analyst,Rihanna,13,84
IT,Bachelor,associate,Jay,14,58
HR,Master,associate,Patricia,10,110
Sales,Master,VP,Maria,15,67
IT,Master,VP,Rachel,6,58
Sales,Master,VP,Alvin,3,32
Admin,PhD,associate,Alice,8,37
IT,Master,Analyst,Robert,3,47
Sales,Bachelor,Analyst,Karl,11,105
Sales,Bachelor,associate,Vanessa,11,118
Sales,PhD,VP,Calvin,2,119
HR,Master,Analyst,Dustin,6,67
Sales,PhD,VP,Winston,13,93
IT,PhD,Analyst,Earl,12,108
Sales,Master,Analyst,Alvin,13,48
